"","Mini","Site","Point","Sample","Branching_density","Broken_density","D_bin","D_gray","L","I","S","Old_density","Sphericity","DR1","DR2","DR3","Alive","Dead","Total","Alive_Density","Total_Density","Alive_Total","Dry_weight"
"333","NBK_1","Keraliou","Keraliou 1",9,7.2,0.2,1.2068,2.6613,15.6166666666667,10.2966666666667,9.58333333333333,2288,0.8296903995436,0.613660618996797,0.8817679558011,0.659338313767343,80,248,328,5120,20992,0.243902439,57.85
"334","NBK_1","Keraliou","Keraliou 1",10,9.2,0.2,1.2188,2.6716,18.4066666666667,12.1933333333333,10.7966666666667,2288,0.803823312628709,0.586562839550888,0.816469557599658,0.662441144512855,80,248,328,5120,20992,0.243902439,57.85
"335","NBK_1","Keraliou","Keraliou 1",11,7.6,0.6,1.1882,2.7081,21.3833333333333,19.5366666666667,12.6166666666667,2288,0.724971824775662,0.590023382696807,0.210646387832694,0.913639906469216,80,248,328,5120,20992,0.243902439,57.85
"336","NBK_1","Keraliou","Keraliou 1",12,9.6,0.2,1.2604,2.71,26.27,17.1866666666667,14.1633333333333,2288,0.763061851518243,0.539144778581397,0.750275330396471,0.654231696485219,80,248,328,5120,20992,0.243902439,57.85
"337","NBK_2","Keraliou","Keraliou 2",1,5.4,0.2,1.1829,2.674,15.7266666666667,13.05,10.46,2288,0.810846647045878,0.66511233573548,0.508227848101269,0.829800763035183,264,808,1072,16896,68608,0.246268657,141.05
"338","NBK_2","Keraliou","Keraliou 2",2,6.8,0.8,1.1518,2.6752,15.3933333333333,11.7133333333333,10.05,2288,0.824339889570258,0.652880034647035,0.688708671241427,0.760935469900389,264,808,1072,16896,68608,0.246268657,141.05
"339","NBK_2","Keraliou","Keraliou 2",3,6.6,0,1.1898,2.6757,18.2466666666667,17.1933333333333,11.5033333333333,2288,0.749953948291255,0.630434782608693,0.15620365793377,0.942272561198389,264,808,1072,16896,68608,0.246268657,141.05
"340","NBK_2","Keraliou","Keraliou 2",4,9,0,1.1749,2.6738,17.79,12.9933333333333,8.62,2288,0.685024337208657,0.484541877459247,0.523082515448931,0.730372868652799,264,808,1072,16896,68608,0.246268657,141.05
"341","NBK_2","Keraliou","Keraliou 2",5,10.6,0,1.215,2.6529,14.0533333333333,11.52,9.71666666666667,2288,0.835476542347862,0.691413662239091,0.584166026133741,0.819734345351046,264,808,1072,16896,68608,0.246268657,141.05
"342","NBK_2","Keraliou","Keraliou 2",6,8.8,0,1.1663,2.6497,12.76,11.13,9.47666666666667,2288,0.858331643689445,0.742685475444096,0.496446700507614,0.872257053291536,264,808,1072,16896,68608,0.246268657,141.05
"343","NBK_2","Keraliou","Keraliou 2",7,10.2,0,1.1598,2.6687,15.4733333333333,13.9966666666667,7.41666666666667,2288,0.633290548714279,0.479319258940113,0.183285064129078,0.904566996984063,264,808,1072,16896,68608,0.246268657,141.05
"344","NBK_2","Keraliou","Keraliou 2",8,5.8,0,1.2106,2.6512,19.1233333333333,10.8666666666667,7.25666666666667,2288,0.632807283800375,0.379466620184766,0.695786516853929,0.568241241066762,264,808,1072,16896,68608,0.246268657,141.05
"345","NBK_2","Keraliou","Keraliou 2",9,6,0,1.1489,2.6395,14.4266666666667,10.1933333333333,7.72333333333333,2288,0.740245503698325,0.535351201478742,0.631526603679768,0.706561922365985,264,808,1072,16896,68608,0.246268657,141.05
"346","NBK_2","Keraliou","Keraliou 2",10,9.2,0,1.1952,2.664,16.4,11.0933333333333,9.09666666666667,2288,0.769047002311025,0.554674796747968,0.726608854404386,0.67642276422764,264,808,1072,16896,68608,0.246268657,141.05
"347","NBK_2","Keraliou","Keraliou 2",11,7.8,0,1.1964,2.6634,15.8866666666667,10.9033333333333,10.0733333333333,2288,0.836728918946304,0.634074695761642,0.857224770642203,0.686319765002095,264,808,1072,16896,68608,0.246268657,141.05
"348","NBK_2","Keraliou","Keraliou 2",12,9.2,0,1.2074,2.6768,21.1566666666667,13.9133333333333,9.86333333333333,2288,0.691389843948032,0.466204506065857,0.641381345926804,0.657633527650856,264,808,1072,16896,68608,0.246268657,141.05
"349","NBK_3","Keraliou","Keraliou 3",1,8.8,0,1.2083,2.6585,17.0833333333333,10.7966666666667,8.60333333333333,2288,0.737604793549768,0.503609756097562,0.741352201257856,0.632000000000003,1342,691,2033,85888,130112,0.660108214,277
"350","NBK_3","Keraliou","Keraliou 3",2,7.8,0.4,1.2667,2.6852,19.1933333333333,15.79,12.2666666666667,2288,0.791845033892214,0.639110802361934,0.491337824831569,0.822681486627303,1342,691,2033,85888,130112,0.660108214,277
"351","NBK_3","Keraliou","Keraliou 3",3,9.6,0,1.1318,2.682,20.0466666666667,12.1066666666667,9.74,2288,0.7311677932695,0.485866311938809,0.77037516170763,0.60392417692052,1342,691,2033,85888,130112,0.660108214,277
"352","NBK_3","Keraliou","Keraliou 3",4,9.2,0,1.1961,2.6837,18.3233333333333,14.0033333333333,12.0866666666667,2288,0.828817782379405,0.659632526832821,0.692677712453241,0.764235037293069,1342,691,2033,85888,130112,0.660108214,277
"353","NBK_3","Keraliou","Keraliou 3",5,7,0,1.1474,2.6375,15.0966666666667,10.7766666666667,9.39333333333333,2288,0.815501286968424,0.62221240892029,0.75745178258328,0.71384411569883,1342,691,2033,85888,130112,0.660108214,277
"354","NBK_3","Keraliou","Keraliou 3",6,13.6,0.2,1.1629,2.6798,22.39,15.5933333333333,10.6833333333333,2288,0.688874592791127,0.477147536102425,0.580580865603646,0.696441863927347,1342,691,2033,85888,130112,0.660108214,277
"355","NBK_3","Keraliou","Keraliou 3",7,6.2,0.2,1.1904,2.6682,22.4233333333333,15.4766666666667,11.0166666666667,2288,0.7045431640309,0.491303701501414,0.609000584453534,0.690203656905012,1342,691,2033,85888,130112,0.660108214,277
"356","NBK_3","Keraliou","Keraliou 3",8,5.2,0.4,1.1514,2.6574,17.3533333333333,10.4966666666667,7.10666666666667,2288,0.652077465479459,0.409527468305802,0.66916070266753,0.604878985785635,1342,691,2033,85888,130112,0.660108214,277
"357","NBK_3","Keraliou","Keraliou 3",9,4.4,0.2,1.1682,2.6562,17.2433333333333,14.61,10.62,2288,0.76499605923619,0.615890199110769,0.397584297936585,0.847283974482893,1342,691,2033,85888,130112,0.660108214,277
"358","NBK_3","Keraliou","Keraliou 3",10,5.6,0,1.2343,2.655,19.8966666666667,18.0666666666667,10.88,2288,0.690557444615742,0.546825263863293,0.202957486136783,0.908024794772994,1342,691,2033,85888,130112,0.660108214,277
"359","NBK_3","Keraliou","Keraliou 3",11,4.2,0,1.1282,2.6774,16.7933333333333,9.63,8.17333333333333,2288,0.744752109854827,0.486701071853911,0.831013147718483,0.573441842000795,1342,691,2033,85888,130112,0.660108214,277
"360","NBK_3","Keraliou","Keraliou 3",12,7.4,0.6,1.2072,2.7055,23.95,19.9633333333333,16.08,2288,0.814725240077521,0.671398747390397,0.506565014824231,0.833542101600555,1342,691,2033,85888,130112,0.660108214,277
